Category: All categories

Month,hurricane weather: (United States)
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,3
2008-06,4
2008-07,6
2008-08,8
2008-09,18
2008-10,0
2008-11,2
2008-12,3
2009-01,0
2009-02,3
2009-03,3
2009-04,0
2009-05,0
2009-06,0
2009-07,2
2009-08,2
2009-09,3
2009-10,3
2009-11,3
2009-12,0
2010-01,2
2010-02,3
2010-03,0
2010-04,0
2010-05,2
2010-06,0
2010-07,3
2010-08,3
2010-09,4
2010-10,2
2010-11,2
2010-12,0
2011-01,2
2011-02,2
2011-03,2
2011-04,3
2011-05,3
2011-06,4
2011-07,2
2011-08,31
2011-09,5
2011-10,2
2011-11,2
2011-12,0
2012-01,2
2012-02,2
2012-03,3
2012-04,2
2012-05,4
2012-06,3
2012-07,2
2012-08,10
2012-09,2
2012-10,22
2012-11,8
2012-12,3
2013-01,4
2013-02,3
2013-03,3
2013-04,3
2013-05,5
2013-06,6
2013-07,4
2013-08,3
2013-09,5
2013-10,6
2013-11,5
2013-12,6
2014-01,4
2014-02,3
2014-03,4
2014-04,3
2014-05,4
2014-06,3
2014-07,5
2014-08,6
2014-09,4
2014-10,4
2014-11,3
2014-12,0
2015-01,3
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,4
2015-07,0
2015-08,5
2015-09,3
2015-10,10
2015-11,2
2015-12,2
2016-01,0
2016-02,3
2016-03,5
2016-04,0
2016-05,4
2016-06,0
2016-07,3
2016-08,4
2016-09,5
2016-10,29
2016-11,3
2016-12,0
2017-01,4
2017-02,3
2017-03,3
2017-04,4
2017-05,5
2017-06,6
2017-07,0
2017-08,20
2017-09,59
2017-10,6
2017-11,2
2017-12,2
2018-01,2
2018-02,1
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,4
2018-09,100
2018-10,25
2018-11,3
2018-12,3
2019-01,2
2019-02,2
2019-03,2
2019-04,2
2019-05,3
2019-06,3
2019-07,6
2019-08,12
2019-09,25
2019-10,3
2019-11,2
2019-12,3
2020-01,2
2020-02,0
2020-03,2
2020-04,2
2020-05,2
2020-06,3
2020-07,5
2020-08,19
2020-09,10
2020-10,8
2020-11,4
2020-12,2
2021-01,1
2021-02,2
2021-03,2
2021-04,2
2021-05,3
2021-06,3
2021-07,5
2021-08,19
2021-09,8
2021-10,2
2021-11,1
2021-12,1
2022-01,2
2022-02,1
2022-03,2
2022-04,2
2022-05,3
2022-06,3
2022-07,2
2022-08,3
2022-09,60
2022-10,6
2022-11,6
2022-12,2
2023-01,2
2023-02,2
2023-03,2
2023-04,2
2023-05,2
2023-06,3
2023-07,3
2023-08,28
2023-09,14
2023-10,3
2023-11,2
2023-12,2
2024-01,2
2024-02,2
2024-03,2
2024-04,2
2024-05,3
2024-06,4
2024-07,12
2024-08,10
2024-09,36
2024-10,40
2024-11,4
2024-12,2
2025-01,2
2025-02,2
