Category: All categories

Month,live weather: (United States)
2008-01,3
2008-02,0
2008-03,2
2008-04,2
2008-05,2
2008-06,3
2008-07,2
2008-08,2
2008-09,3
2008-10,2
2008-11,2
2008-12,2
2009-01,2
2009-02,3
2009-03,3
2009-04,4
2009-05,4
2009-06,4
2009-07,8
2009-08,6
2009-09,6
2009-10,6
2009-11,4
2009-12,7
2010-01,6
2010-02,5
2010-03,4
2010-04,7
2010-05,8
2010-06,7
2010-07,8
2010-08,7
2010-09,6
2010-10,5
2010-11,7
2010-12,6
2011-01,7
2011-02,9
2011-03,11
2011-04,13
2011-05,10
2011-06,8
2011-07,7
2011-08,8
2011-09,6
2011-10,7
2011-11,8
2011-12,8
2012-01,7
2012-02,7
2012-03,6
2012-04,6
2012-05,7
2012-06,6
2012-07,6
2012-08,6
2012-09,5
2012-10,11
2012-11,6
2012-12,6
2013-01,7
2013-02,10
2013-03,8
2013-04,9
2013-05,11
2013-06,11
2013-07,13
2013-08,11
2013-09,12
2013-10,14
2013-11,16
2013-12,18
2014-01,19
2014-02,13
2014-03,12
2014-04,10
2014-05,8
2014-06,10
2014-07,9
2014-08,7
2014-09,9
2014-10,10
2014-11,8
2014-12,8
2015-01,7
2015-02,7
2015-03,6
2015-04,8
2015-05,7
2015-06,6
2015-07,6
2015-08,6
2015-09,9
2015-10,8
2015-11,7
2015-12,7
2016-01,9
2016-02,6
2016-03,8
2016-04,7
2016-05,6
2016-06,7
2016-07,5
2016-08,7
2016-09,8
2016-10,14
2016-11,6
2016-12,7
2017-01,9
2017-02,8
2017-03,10
2017-04,7
2017-05,7
2017-06,9
2017-07,7
2017-08,32
2017-09,100
2017-10,14
2017-11,6
2017-12,9
2018-01,15
2018-02,7
2018-03,13
2018-04,6
2018-05,8
2018-06,6
2018-07,5
2018-08,7
2018-09,62
2018-10,20
2018-11,8
2018-12,8
2019-01,12
2019-02,9
2019-03,8
2019-04,9
2019-05,16
2019-06,10
2019-07,13
2019-08,15
2019-09,32
2019-10,12
2019-11,11
2019-12,11
2020-01,10
2020-02,8
2020-03,7
2020-04,11
2020-05,12
2020-06,16
2020-07,18
2020-08,49
2020-09,31
2020-10,22
2020-11,20
2020-12,21
2021-01,19
2021-02,45
2021-03,25
2021-04,15
2021-05,16
2021-06,16
2021-07,20
2021-08,43
2021-09,20
2021-10,19
2021-11,11
2021-12,20
2022-01,27
2022-02,21
2022-03,21
2022-04,20
2022-05,17
2022-06,14
2022-07,11
2022-08,14
2022-09,67
2022-10,14
2022-11,24
2022-12,35
2023-01,30
2023-02,27
2023-03,36
2023-04,39
2023-05,17
2023-06,30
2023-07,20
2023-08,50
2023-09,21
2023-10,15
2023-11,13
2023-12,17
2024-01,52
2024-02,21
2024-03,19
2024-04,54
2024-05,81
2024-06,33
2024-07,43
2024-08,37
2024-09,64
2024-10,62
2024-11,29
2024-12,20
2025-01,83
