Category: All categories

Month,tornado weather: (United States)
2008-01,18
2008-02,34
2008-03,29
2008-04,28
2008-05,36
2008-06,39
2008-07,21
2008-08,17
2008-09,26
2008-10,17
2008-11,17
2008-12,17
2009-01,13
2009-02,22
2009-03,28
2009-04,24
2009-05,28
2009-06,33
2009-07,17
2009-08,17
2009-09,15
2009-10,0
2009-11,10
2009-12,12
2010-01,19
2010-02,13
2010-03,16
2010-04,22
2010-05,33
2010-06,26
2010-07,19
2010-08,21
2010-09,18
2010-10,13
2010-11,12
2010-12,12
2011-01,16
2011-02,22
2011-03,27
2011-04,70
2011-05,80
2011-06,50
2011-07,29
2011-08,31
2011-09,19
2011-10,26
2011-11,21
2011-12,11
2012-01,20
2012-02,23
2012-03,44
2012-04,50
2012-05,32
2012-06,30
2012-07,29
2012-08,35
2012-09,27
2012-10,23
2012-11,19
2012-12,23
2013-01,21
2013-02,24
2013-03,25
2013-04,38
2013-05,79
2013-06,97
2013-07,39
2013-08,29
2013-09,26
2013-10,28
2013-11,36
2013-12,31
2014-01,29
2014-02,35
2014-03,34
2014-04,59
2014-05,48
2014-06,46
2014-07,35
2014-08,38
2014-09,29
2014-10,32
2014-11,21
2014-12,25
2015-01,28
2015-02,14
2015-03,37
2015-04,72
2015-05,67
2015-06,42
2015-07,34
2015-08,24
2015-09,33
2015-10,24
2015-11,29
2015-12,26
2016-01,31
2016-02,34
2016-03,46
2016-04,46
2016-05,40
2016-06,34
2016-07,19
2016-08,26
2016-09,24
2016-10,19
2016-11,15
2016-12,26
2017-01,34
2017-02,39
2017-03,54
2017-04,47
2017-05,36
2017-06,35
2017-07,30
2017-08,17
2017-09,22
2017-10,13
2017-11,12
2017-12,10
2018-01,13
2018-02,13
2018-03,16
2018-04,20
2018-05,18
2018-06,17
2018-07,16
2018-08,14
2018-09,21
2018-10,17
2018-11,17
2018-12,16
2019-01,17
2019-02,19
2019-03,27
2019-04,36
2019-05,50
2019-06,40
2019-07,28
2019-08,28
2019-09,24
2019-10,26
2019-11,23
2019-12,21
2020-01,24
2020-02,30
2020-03,30
2020-04,33
2020-05,27
2020-06,24
2020-07,24
2020-08,28
2020-09,24
2020-10,17
2020-11,20
2020-12,15
2021-01,19
2021-02,23
2021-03,44
2021-04,24
2021-05,29
2021-06,30
2021-07,28
2021-08,25
2021-09,22
2021-10,19
2021-11,16
2021-12,48
2022-01,24
2022-02,20
2022-03,42
2022-04,45
2022-05,40
2022-06,31
2022-07,23
2022-08,20
2022-09,22
2022-10,15
2022-11,21
2022-12,21
2023-01,24
2023-02,24
2023-03,48
2023-04,61
2023-05,27
2023-06,42
2023-07,28
2023-08,32
2023-09,20
2023-10,17
2023-11,15
2023-12,23
2024-01,28
2024-02,28
2024-03,30
2024-04,66
2024-05,100
2024-06,41
2024-07,45
2024-08,34
2024-09,27
2024-10,21
2024-11,24
2024-12,20
2025-01,22
2025-02,26
